accident_no,surface_cond_desc
T20060001512,Dry
T20060001514,Dry
T20060001526,Dry
T20060001532,Wet
T20060001543,Dry
T20060001548,Wet
T20060001560,Wet
T20060001562,Wet
T20060001571,Dry
T20060001586,Dry
T20060001588,Dry
T20060001590,Dry
T20060001594,Wet
T20060001601,Wet
T20060001602,Wet
T20060001607,Dry
T20060001615,Dry
T20060001623,Dry
T20060001625,Dry
T20060001626,Dry
T20060001627,Dry
T20060001628,Dry
T20060001629,Dry
T20060001633,Dry
T20060001638,Dry
T20060001642,Dry
T20060001663,Dry
T20060001669,Wet
T20060001674,Wet
T20060001679,Wet
T20060001682,Wet
T20060001691,Wet
T20060001695,Dry
T20060001696,Wet
T20060001698,Wet
T20060001698,Muddy
T20060001700,Wet
T20060001702,Dry
T20060001710,Wet
T20060001717,Dry
T20060001721,Dry
T20060001724,Dry
T20060001736,Dry
T20060001751,Dry
T20060001753,Dry
T20060001754,Dry
T20060001756,Dry
T20060001757,Dry
T20060001762,Dry
T20060001764,Dry
T20060001765,Dry
T20060001766,Dry
T20060001770,Dry
T20060001772,Dry
T20060001775,Dry
T20060001777,Dry
T20060001779,Dry
T20060001785,Dry
T20060001790,Dry
T20060001803,Dry
T20060001806,Dry
T20060001807,Dry
T20060001812,Dry
T20060001814,Dry
T20060001821,Dry
T20060001822,Dry
T20060001828,Dry
T20060001829,Dry
T20060001830,Dry
T20060001833,Dry
T20060001834,Dry
T20060001835,Dry
T20060001836,Dry
T20060001838,Dry
T20060001839,Dry
T20060001851,Dry
T20060001853,Dry
T20060001855,Dry
T20060001858,Dry
T20060001859,Dry
T20060001865,Dry
T20060001872,Dry
T20060001874,Dry
T20060001877,Dry
T20060001882,Dry
T20060001884,Dry
T20060001887,Dry
T20060001892,Dry
T20060001893,Dry
T20060001897,Dry
T20060001902,Dry
T20060001903,Dry
T20060001908,Dry
T20060001909,Dry
T20060001911,Dry
T20060001912,Dry
T20060001916,Dry
T20060001917,Dry
T20060001919,Dry
T20060001920,Dry
T20060001921,Dry
T20060001923,Dry
T20060001927,Dry
T20060001937,Dry
T20060001951,Dry
T20060001952,Dry
T20060001954,Dry
T20060001955,Dry
T20060001958,Dry
T20060001959,Dry
T20060001960,Dry
T20060001962,Dry
T20060001963,Dry
T20060001966,Dry
T20060001967,Dry
T20060001968,Dry
T20060001972,Dry
T20060001974,Dry
T20060001977,Dry
T20060001979,Dry
T20060001981,Dry
T20060001983,Dry
T20060001985,Wet
T20060001986,Dry
T20060001987,Dry
T20060001989,Dry
T20060001990,Dry
T20060001991,Wet
T20060001992,Dry
T20060001993,Dry
T20060001995,Dry
T20060001997,Dry
T20060001998,Dry
T20060001999,Dry
T20060002002,Dry
T20060002003,Dry
T20060002006,Dry
T20060002011,Dry
T20060002012,Dry
T20060002016,Wet
T20060002021,Dry
T20060002024,Dry
T20060002025,Dry
T20060002030,Dry
T20060002031,Dry
T20060002032,Dry
T20060002037,Dry
T20060002045,Dry
T20060002049,Dry
T20060002054,Dry
T20060002056,Dry
T20060002057,Dry
T20060002068,Dry
T20060002069,Dry
T20060002072,Wet
T20060002075,Dry
T20060002077,Dry
T20060002078,Dry
T20060002079,Dry
T20060002081,Dry
T20060002085,Dry
T20060002088,Dry
T20060002091,Dry
T20060002099,Dry
T20060002100,Dry
T20060002112,Dry
T20060002113,Dry
T20060002115,Wet
T20060002118,Dry
T20060002121,Wet
T20060002127,Dry
T20060002128,Dry
T20060002131,Dry
T20060002136,Dry
T20060002147,Dry
T20060002152,Dry
T20060002154,Unknown
T20060002165,Dry
T20060002167,Dry
T20060002170,Dry
T20060002171,Dry
T20060002173,Dry
T20060002176,Dry
T20060002181,Dry
T20060002183,Wet
T20060002184,Dry
T20060002189,Dry
T20060002203,Dry
T20060002206,Dry
T20060002208,Dry
T20060002216,Dry
T20060002219,Dry
T20060002222,Dry
T20060002223,Dry
T20060002231,Dry
T20060002234,Dry
T20060002237,Dry
T20060002240,Dry
T20060002243,Dry
T20060002247,Dry
T20060002251,Dry
T20060002252,Dry
T20060002253,Dry
T20060002259,Wet
T20060002261,Dry
T20060002262,Dry
T20060002264,Dry
T20060002265,Dry
T20060002266,Dry
T20060002270,Dry
T20060002274,Dry
T20060002275,Dry
T20060002278,Dry
T20060002279,Dry
T20060002287,Dry
T20060002288,Wet
T20060002290,Dry
T20060002291,Dry
T20060002292,Dry
T20060002293,Dry
T20060002295,Dry
T20060002296,Dry
T20060002302,Dry
T20060002304,Dry
T20060002307,Dry
T20060002310,Dry
T20060002316,Dry
T20060002317,Dry
T20060002319,Dry
T20060002321,Dry
T20060002324,Dry
T20060002328,Dry
T20060002330,Dry
T20060002332,Dry
T20060002333,Dry
T20060002335,Dry
T20060002339,Dry
T20060002344,Dry
T20060002347,Dry
T20060002349,Dry
T20060002351,Dry
T20060002355,Dry
T20060002356,Dry
T20060002357,Dry
T20060002360,Dry
T20060002375,Dry
T20060002378,Unknown
T20060002380,Dry
T20060002381,Dry
T20060002391,Dry
T20060002397,Dry
T20060002399,Dry
T20060002400,Unknown
T20060002401,Dry
T20060002407,Dry
T20060002408,Wet
T20060002409,Dry
T20060002413,Dry
T20060002414,Dry
T20060002415,Dry
T20060002419,Dry
T20060002422,Dry
T20060002424,Dry
T20060002433,Dry
T20060002442,Dry
T20060002445,Dry
T20060002448,Dry
T20060002451,Dry
T20060002453,Dry
T20060002455,Dry
T20060002456,Dry
T20060002459,Dry
T20060002462,Dry
T20060002469,Dry
T20060002489,Wet
T20060002493,Dry
T20060002494,Dry
T20060002500,Dry
T20060002501,Dry
T20060002504,Dry
T20060002507,Wet
T20060002512,Dry
T20060002514,Dry
T20060002518,Wet
T20060002521,Wet
T20060002526,Wet
T20060002536,Dry
T20060002544,Dry
T20060002546,Dry
T20060002548,Dry
T20060002550,Dry
T20060002557,Dry
T20060002559,Dry
T20060002565,Dry
T20060002569,Dry
T20060002570,Dry
T20060002588,Dry
T20060002592,Dry
T20060002595,Dry
T20060002599,Dry
T20060002602,Dry
T20060002605,Wet
T20060002606,Dry
T20060002608,Dry
T20060002609,Dry
T20060002611,Dry
T20060002612,Dry
T20060002615,Dry
T20060002616,Dry
T20060002618,Dry
T20060002620,Dry
T20060002623,Dry
T20060002626,Dry
T20060002632,Dry
T20060002634,Dry
T20060002636,Dry
