accident_no,surface_cond_desc
T20100015987,Dry
T20100015991,Unknown
T20100015993,Dry
T20100015995,Wet
T20100015996,Wet
T20100016000,Wet
T20100016006,Dry
T20100016007,Wet
T20100016008,Wet
T20100016009,Dry
T20100016010,Wet
T20100016026,Dry
T20100016034,Wet
T20100016038,Wet
T20100016045,Wet
T20100016053,Wet
T20100016056,Dry
T20100016060,Wet
T20100016071,Dry
T20100016072,Wet
T20100016077,Dry
T20100016090,Dry
T20100016091,Dry
T20100016093,Dry
T20100016095,Dry
T20100016098,Wet
T20100016099,Dry
T20100016104,Wet
T20100016107,Dry
T20100016108,Dry
T20100016112,Dry
T20100016116,Wet
T20100016122,Dry
T20100016130,Dry
T20100016132,Dry
T20100016147,Dry
T20100016151,Dry
T20100016152,Wet
T20100016162,Unknown
T20100016163,Unknown
T20100016164,Dry
T20100016176,Dry
T20100016177,Dry
T20100016178,Wet
T20100016181,Dry
T20100016186,Dry
T20100016194,Dry
T20100016197,Wet
T20100016201,Dry
T20100016208,Dry
T20100016215,Dry
T20100016218,Dry
T20100016219,Dry
T20100016220,Dry
T20100016223,Dry
T20100016225,Dry
T20100016231,Dry
T20100016241,Wet
T20100016243,Wet
T20100016262,Dry
T20100016271,Dry
T20100016273,Dry
T20100016275,Dry
T20100016277,Wet
T20100016279,Wet
T20100016287,Wet
T20100016288,Dry
T20100016289,Dry
T20100016290,Dry
T20100016295,Dry
T20100016296,Dry
T20100016298,Dry
T20100016302,Dry
T20100016303,Wet
T20100016305,Dry
T20100016319,Dry
T20100016321,Dry
T20100016324,Dry
T20100016325,Wet
T20100016327,Dry
T20100016330,Wet
T20100016332,Dry
T20100016334,Dry
T20100016336,Unknown
T20100016341,Dry
T20100016343,Dry
T20100016346,Wet
T20100016348,Dry
T20100016351,Dry
T20100016354,Unknown
T20100016358,Dry
T20100016360,Dry
T20100016361,Dry
T20100016363,Wet
T20100016366,Dry
T20100016367,Dry
T20100016371,Dry
T20100016375,Dry
T20100016378,Wet
T20100016380,Wet
T20100016385,Dry
T20100016391,Wet
T20100016394,Wet
T20100016397,Wet
T20100016402,Dry
T20100016407,Dry
T20100016414,Dry
T20100016416,Wet
T20100016422,Dry
T20100016426,Dry
T20100016431,Wet
T20100016435,Dry
T20100016440,Dry
T20100016446,Unknown
T20100016449,Dry
T20100016450,Dry
T20100016451,Dry
T20100016452,Wet
T20100016456,Dry
T20100016463,Dry
T20100016464,Dry
T20100016472,Dry
T20100016481,Dry
T20100016485,Dry
T20100016486,Wet
T20100016488,Unknown
T20100016493,Dry
T20100016496,Dry
T20100016503,Dry
T20100016504,Dry
T20100016507,Dry
T20100016508,Dry
T20100016509,Dry
T20100016513,Dry
T20100016516,Wet
T20100016519,Dry
T20100016523,Dry
T20100016525,Wet
T20100016533,Dry
T20100016546,Dry
T20100016565,Dry
T20100016571,Dry
T20100016573,Dry
T20100016577,Dry
T20100016587,Dry
T20100016589,Dry
T20100016590,Dry
T20100016606,Dry
T20100016608,Dry
T20100016609,Dry
T20100016616,Dry
T20100016618,Dry
T20100016620,Dry
T20100016622,Dry
T20100016625,Wet
T20100016629,Dry
T20100016637,Dry
T20100016639,Dry
T20100016640,Dry
T20100016643,Dry
T20100016648,Dry
T20100016649,Dry
T20100016650,Dry
T20100016653,Dry
T20100016654,Dry
T20100016656,Dry
T20100016659,Dry
T20100016660,Dry
T20100016664,Dry
T20100016665,Dry
T20100016668,Dry
T20100016671,Dry
T20100016674,Dry
T20100016677,Dry
T20100016680,Dry
T20100016684,Dry
T20100016686,Dry
T20100016687,Dry
T20100016689,Dry
T20100016691,Dry
T20100016701,Dry
T20100016703,Unknown
T20100016704,Dry
T20100016707,Wet
T20100016708,Dry
T20100016712,Dry
T20100016713,Dry
T20100016714,Dry
T20100016715,Dry
T20100016719,Dry
T20100016722,Unknown
T20100016740,Dry
T20100016747,Dry
T20100016752,Muddy
T20100016753,Dry
T20100016754,Dry
T20100016765,Dry
T20100016766,Dry
T20100016767,Dry
T20100016772,Dry
T20100016773,Dry
T20100016776,Dry
T20100016782,Dry
T20100016784,Dry
T20100016787,Dry
T20100016790,Dry
T20100016804,Dry
T20100016807,Dry
T20100016810,Dry
T20100016813,Wet
T20100016815,Dry
T20100016818,Dry
T20100016820,Dry
T20100016822,Dry
T20100016824,Dry
T20100016826,Dry
T20100016832,Dry
T20100016833,Dry
T20100016838,Dry
T20100016842,Dry
T20100016844,Dry
T20100016845,Dry
T20100016848,Dry
T20100016849,Dry
T20100016850,Dry
T20100016851,Dry
T20100016855,Dry
T20100016856,Dry
T20100016861,Dry
T20100016866,Dry
T20100016879,Dry
T20100016886,Dry
T20100016890,Wet
T20100016891,Dry
T20100016895,Dry
T20100016897,Dry
T20100016899,Dry
T20100016903,Dry
T20100016907,Dry
T20100016908,Dry
T20100016910,Dry
T20100016917,Dry
T20100016918,Dry
T20100016919,Dry
T20100016922,Dry
T20100016923,Dry
T20100016928,Dry
T20100016929,Dry
T20100016930,Dry
T20100016935,Dry
T20100016941,Dry
T20100016944,Dry
T20100016945,Dry
T20100016951,Dry
T20100016956,Dry
T20100016966,Dry
T20100016972,Dry
T20100016973,Dry
T20100016981,Dry
T20100016985,Dry
T20100016989,Wet
T20100016989,Muddy
T20100017010,Dry
T20100017011,Dry
T20100017016,Dry
T20100017022,Wet
T20100017023,Wet
T20100017024,Dry
T20100017025,Unknown
T20100017027,Wet
T20100017028,Wet
T20100017035,Wet
T20100017039,Dry
T20100017040,Wet
T20100017046,Wet
T20100017051,Wet
T20100017053,Dry
T20100017055,Wet
T20100017058,Wet
T20100017059,Wet
T20100017061,Wet
T20100017065,Dry
T20100017070,Wet
T20100017072,Wet
T20100017075,Wet
T20100017095,Wet
T20100017097,Wet
T20100017112,Wet
T20100017114,Dry
T20100017115,Dry
T20100017117,Dry
T20100017119,Dry
T20100017126,Dry
T20100017127,Dry
T20100017128,Dry
T20100017135,Unknown
T20100017143,Wet
T20100017153,Dry
T20100017154,Wet
T20100017155,Dry
T20100017165,Dry
T20100017173,Wet
T20100017174,Dry
T20100017175,Dry
T20100017179,Dry
T20100017180,Wet
T20100017181,Wet
T20100017182,Dry
T20100017185,Dry
T20100017186,Dry
T20100017189,Dry
T20100017195,Dry
T20100017200,Dry
T20100017201,Wet
T20100017203,Dry
T20100017204,Wet
T20100017210,Dry
T20100017213,Wet
T20100017223,Dry
T20100017225,Dry
T20100017226,Dry
T20100017235,Wet
T20100017245,Dry
T20100017253,Dry
T20100017255,Dry
T20100017260,Dry
T20100017261,Dry
T20100017265,Unknown
T20100017269,Wet
T20100017270,Dry
T20100017272,Wet
T20100017273,Wet
T20100017276,Wet
T20100017278,Wet
T20100017295,Wet
T20100017301,Wet
T20100017309,Dry
T20100017313,Wet
T20100017315,Wet
T20100017326,Dry
T20100017327,Wet
T20100017330,Dry
T20100017334,Wet
T20100017335,Wet
T20100017337,Dry
T20100017338,Wet
T20100017338,Muddy
T20100017340,Dry
T20100017352,Dry
T20100017353,Wet
T20100017359,Wet
T20100017369,Dry
T20100017385,Dry
T20100017386,Dry
T20100017389,Dry
T20100017401,Dry
T20100017402,Dry
T20100017409,Dry
T20100017413,Dry
T20100017414,Dry
T20100017418,Dry
T20100017423,Dry
T20100017425,Dry
T20100017434,Dry
T20100017435,Dry
T20100017436,Dry
T20100017444,Dry
T20100017448,Wet
T20100017449,Dry
T20100017451,Dry
T20100017456,Dry
T20100017457,Dry
T20100017461,Unknown
T20100017463,Unknown
T20100017478,Dry
T20100017480,Dry
T20100017483,Dry
T20100017492,Wet
T20100017496,Dry
T20100017501,Dry
T20100017503,Wet
T20100017507,Dry
T20100017512,Dry
T20100017520,Dry
T20100017528,Dry
T20100017529,Dry
T20100017535,Dry
T20100017541,Dry
T20100017550,Unknown
T20100017551,Wet
T20100017553,Wet
T20100017560,Wet
T20100017566,Wet
T20100017569,Dry
T20100017575,Wet
T20100017577,Wet
T20100017580,Wet
T20100017590,Dry
T20100017592,Wet
T20100017593,Wet
T20100017602,Wet
T20100017602,Muddy
T20100017610,Wet
T20100017611,Wet
T20100017617,Wet
T20100017629,Dry
T20100017639,Wet
T20100017643,Dry
T20100017645,Dry
T20100017648,Wet
T20100017659,Dry
T20100017663,Dry
T20100017666,Dry
T20100017667,Wet
T20100017669,Dry
T20100017678,Dry
T20100017684,Dry
T20100017685,Dry
T20100017687,Wet
T20100017696,Dry
T20100017702,Dry
T20100017705,Muddy
T20100017707,Dry
T20100017709,Dry
T20100017718,Dry
T20100017723,Dry
T20100017727,Dry
T20100017730,Dry
T20100017736,Dry
T20100017737,Dry
T20100017742,Dry
T20100017746,Dry
T20100017754,Wet
T20100017759,Dry
T20100017771,Dry
T20100017772,Dry
T20100017774,Dry
T20100017776,Dry
T20100017777,Dry
T20100017778,Dry
T20100017781,Dry
T20100017783,Dry
T20100017787,Dry
T20100017789,Dry
T20100017791,Dry
T20100017795,Dry
T20100017807,Dry
T20100017808,Muddy
T20100017809,Dry
T20100017811,Dry
T20100017819,Wet
T20100017825,Dry
T20100017827,Dry
T20100017830,Dry
T20100017831,Dry
T20100017833,Dry
T20100017838,Dry
T20100017842,Dry
T20100017851,Dry
T20100017855,Wet
T20100017857,Dry
T20100017864,Dry
T20100017867,Dry
T20100017868,Dry
T20100017871,Dry
T20100017873,Dry
T20100017875,Dry
T20100017878,Dry
T20100017883,Wet
T20100017884,Dry
T20100017888,Wet
T20100017890,Dry
T20100017896,Dry
T20100017898,Dry
T20100017900,Wet
T20100017913,Dry
T20100017917,Dry
T20100017920,Dry
T20100017927,Dry
T20100017935,Wet
T20100017936,Dry
T20100017938,Dry
T20100017941,Dry
T20100017943,Dry
T20100017949,Wet
T20100017951,Dry
T20100017956,Dry
T20100017959,Dry
T20100017960,Dry
T20100017962,Dry
T20100017963,Dry
T20100017964,Dry
T20100017965,Dry
T20100017966,Dry
T20100017967,Unknown
T20100017969,Dry
T20100017971,Dry
T20100017972,Dry
T20100017973,Dry
T20100017983,Dry
T20100017986,Dry
T20100017988,Dry
T20100017995,Dry
T20100017997,Dry
T20100017999,Dry
T20100018000,Dry
T20100018001,Dry
T20100018002,Dry
T20100018005,Dry
T20100018008,Wet
T20100018014,Dry
T20100018022,Dry
T20100018024,Dry
T20100018030,Dry
T20100018034,Dry
T20100018036,Dry
T20100018044,Dry
T20100018045,Dry
T20100018046,Unknown
T20100018049,Dry
T20100018050,Dry
T20100018051,Dry
T20100018056,Dry
T20100018058,Dry
T20100018064,Dry
T20100018067,Wet
T20100018069,Wet
T20100018071,Wet
T20100018075,Wet
T20100018079,Wet
T20100018080,Wet
T20100018081,Dry
T20100018082,Wet
T20100018083,Dry
T20100018085,Wet
T20100018088,Wet
T20100018089,Dry
T20100018095,Dry
T20100018098,Unknown
T20100018104,Dry
T20100018105,Dry
T20100018106,Dry
T20100018107,Wet
T20100018118,Wet
T20100018119,Dry
T20100018120,Wet
T20100018121,Dry
T20100018123,Dry
T20100018124,Dry
T20100018138,Dry
T20100018142,Dry
T20100018161,Dry
T20100018165,Dry
T20100018167,Dry
T20100018170,Dry
T20100018172,Dry
T20100018174,Dry
T20100018176,Wet
T20100018177,Dry
T20100018183,Dry
T20100018184,Wet
T20100018186,Wet
T20100018187,Dry
T20100018188,Dry
T20100018192,Dry
T20100018197,Unknown
T20100018202,Dry
T20100018210,Dry
T20100018215,Wet
T20100018231,Wet
T20100018244,Dry
T20100018247,Wet
T20100018248,Muddy
T20100018249,Dry
T20100018252,Wet
T20100018254,Dry
T20100018256,Wet
T20100018257,Dry
T20100018260,Dry
T20100018261,Dry
T20100018264,Dry
T20100018268,Dry
T20100018270,Dry
T20100018275,Unknown
T20100018279,Wet
T20100018281,Wet
T20100018281,Icy
T20100018286,Dry
T20100018289,Dry
T20100018292,Unknown
T20100018293,Wet
T20100018301,Dry
T20100018308,Wet
T20100018312,Wet
T20100018313,Wet
T20100018318,Dry
T20100018320,Dry
T20100018321,Unknown
T20100018325,Dry
T20100018326,Dry
T20100018332,Dry
T20100018333,Wet
T20100018334,Wet
T20100018337,Dry
T20100018338,Dry
T20100018341,Dry
T20100018345,Dry
T20100018348,Dry
T20100018351,Dry
T20100018352,Dry
T20100018354,Dry
T20100018355,Dry
T20100018358,Dry
T20100018363,Dry
T20100018367,Dry
T20100018368,Dry
T20100018370,Dry
T20100018372,Dry
T20100018374,Dry
T20100018379,Dry
T20100018384,Dry
T20100018385,Dry
T20100018386,Wet
T20100018387,Dry
T20100018390,Dry
T20100018398,Dry
T20100018401,Dry
T20100018413,Dry
T20100018414,Dry
T20100018416,Dry
T20100018418,Wet
T20100018419,Dry
T20100018429,Wet
T20100018437,Dry
T20100018438,Dry
T20100018445,Wet
T20100018448,Wet
T20100018461,Wet
T20100018468,Dry
T20100018470,Dry
T20100018480,Dry
T20100018483,Muddy
T20100018491,Wet
T20100018494,Wet
T20100018502,Dry
T20100018503,Wet
T20100018505,Wet
T20100018512,Wet
T20100018514,Wet
T20100018515,Dry
T20100018518,Dry
T20100018522,Dry
T20100018525,Dry
T20100018526,Unknown
T20100018527,Dry
T20100018529,Dry
T20100018530,Wet
T20100018539,Dry
T20100018543,Dry
T20100018545,Dry
T20100018546,Dry
T20100018548,Wet
T20100018549,Wet
T20100018559,Wet
T20100018560,Wet
T20100018567,Wet
T20100018568,Dry
T20100018571,Dry
T20100018573,Wet
T20100018581,Dry
T20100018586,Unknown
T20100018592,Wet
T20100018595,Wet
T20100018597,Dry
T20100018601,Muddy
T20100018606,Dry
T20100018607,Dry
T20100018609,Wet
T20100018626,Wet
T20100018632,Wet
T20100018634,Wet
T20100018642,Unknown
T20100018643,Wet
T20100018646,Unknown
T20100018649,Dry
T20100018651,Dry
T20100018653,Dry
T20100018661,Dry
T20100018664,Wet
T20100018668,Unknown
T20100018669,Wet
T20100018670,Dry
T20100018676,Dry
T20100018677,Dry
T20100018689,Dry
T20100018690,Dry
T20100018694,Dry
T20100018696,Dry
T20100018697,Dry
T20100018703,Dry
T20100018704,Dry
T20100018709,Wet
T20100018712,Dry
T20100018715,Dry
T20100018718,Dry
T20100018720,Dry
T20100018729,Dry
T20100018730,Dry
T20100018733,Unknown
T20100018739,Wet
T20100018740,Dry
T20100018742,Dry
T20100018753,Dry
T20100018757,Dry
T20100018770,Dry
T20100018774,Dry
T20100018783,Dry
T20100018788,Wet
T20100018790,Dry
T20100018793,Dry
T20100018794,Dry
T20100018799,Dry
T20100018800,Wet
T20100018802,Dry
T20100018803,Dry
T20100018804,Dry
T20100018808,Dry
T20100018810,Dry
T20100018814,Dry
T20100018815,Muddy
T20100018816,Dry
T20100018817,Wet
T20100018824,Dry
T20100018827,Dry
T20100018831,Dry
T20100018836,Unknown
T20100018845,Dry
T20100018846,Dry
T20100018850,Dry
T20100018851,Dry
T20100018863,Dry
T20100018869,Dry
T20100018870,Dry
T20100018879,Dry
T20100018880,Dry
T20100018887,Dry
T20100018910,Dry
T20100018913,Dry
T20100018917,Dry
T20100018918,Dry
T20100018922,Unknown
T20100018930,Dry
T20100018931,Dry
T20100018933,Dry
T20100018935,Dry
T20100018938,Dry
T20100018939,Dry
T20100018941,Dry
T20100018948,Dry
T20100018949,Dry
T20100018950,Dry
T20100018955,Dry
T20100018957,Unknown
T20100018958,Dry
T20100018964,Dry
T20100018965,Dry
T20100018967,Dry
T20100018971,Dry
T20100018979,Dry
T20100018982,Dry
T20100018987,Dry
T20100019008,Dry
T20100019011,Dry
T20100019012,Dry
T20100019017,Dry
T20100019020,Dry
T20100019021,Dry
T20100019029,Dry
T20100019031,Dry
T20100019035,Dry
T20100019038,Dry
T20100019046,Dry
T20100019053,Dry
T20100019054,Dry
T20100019055,Unknown
T20100019063,Dry
T20100019067,Unknown
T20100019071,Dry
T20100019078,Dry
T20100019081,Dry
T20100019084,Dry
T20100019088,Dry
T20100019097,Dry
T20100019101,Dry
T20100019104,Dry
T20100019105,Dry
T20100019106,Dry
T20100019113,Dry
T20100019126,Dry
T20100019129,Dry
T20100019131,Dry
T20100019135,Dry
T20100019136,Dry
T20100019137,Dry
T20100019141,Dry
T20100019142,Dry
T20100019144,Dry
T20100019145,Dry
T20100019146,Dry
T20100019148,Dry
T20100019152,Dry
T20100019153,Dry
T20100019160,Dry
T20100019163,Dry
T20100019165,Dry
T20100019171,Dry
T20100019173,Dry
T20100019174,Wet
T20100019178,Dry
T20100019182,Dry
T20100019185,Dry
T20100019194,Dry
T20100019195,Dry
T20100019197,Dry
T20100019203,Dry
T20100019204,Dry
T20100019213,Dry
T20100019216,Dry
T20100019220,Dry
T20100019226,Dry
T20100019227,Dry
T20100019229,Dry
T20100019231,Dry
T20100019237,Dry
T20100019240,Wet
T20100019243,Unknown
T20100019246,Dry
T20100019249,Dry
T20100019250,Dry
T20100019253,Dry
T20100019254,Dry
T20100019255,Dry
T20100019258,Wet
T20100019259,Dry
T20100019261,Dry
T20100019269,Dry
T20100019273,Dry
T20100019278,Wet
T20100019278,Muddy
T20100019279,Dry
T20100019280,Dry
T20100019282,Dry
T20100019286,Dry
T20100019288,Dry
T20100019293,Dry
T20100019297,Dry
T20100019300,Dry
T20100019301,Dry
T20100019306,Dry
T20100019310,Dry
T20100019329,Dry
T20100019334,Dry
T20100019335,Muddy
T20100019340,Dry
T20100019341,Dry
T20100019344,Dry
T20100019345,Dry
T20100019349,Dry
T20100019365,Dry
T20100019370,Dry
T20100019376,Dry
T20100019383,Dry
T20100019391,Dry
T20100019392,Dry
T20100019396,Wet
T20100019414,Dry
T20100019415,Dry
T20100019421,Dry
T20100019426,Dry
T20100019432,Dry
T20100019434,Dry
T20100019443,Dry
T20100019444,Dry
T20100019451,Dry
T20100019454,Dry
T20100019464,Dry
T20100019465,Dry
T20100019466,Dry
T20100019467,Dry
T20100019468,Dry
T20100019472,Dry
T20100019490,Dry
T20100019491,Dry
T20100019492,Dry
T20100019495,Dry
T20100019496,Dry
T20100019498,Dry
T20100019509,Dry
T20100019515,Dry
T20100019520,Dry
T20100019521,Dry
T20100019523,Dry
T20100019526,Dry
T20100019532,Dry
T20100019533,Dry
T20100019537,Dry
T20100019538,Dry
T20100019541,Dry
T20100019542,Dry
T20100019548,Dry
T20100019549,Dry
T20100019553,Dry
T20100019558,Dry
T20100019568,Dry
T20100019574,Dry
T20100019576,Dry
T20100019579,Dry
T20100019581,Dry
T20100019582,Dry
T20100019584,Dry
T20100019587,Dry
T20100019590,Dry
T20100019595,Dry
T20100019596,Dry
T20100019601,Dry
T20100019605,Dry
T20100019607,Dry
T20100019612,Dry
T20100019613,Dry
T20100019615,Dry
T20100019616,Dry
T20100019618,Dry
T20100019620,Dry
T20100019623,Dry
T20100019630,Dry
T20100019633,Dry
T20100019634,Dry
T20100019636,Dry
T20100019638,Dry
T20100019639,Wet
T20100019639,Muddy
T20100019640,Dry
T20100019641,Dry
T20100019643,Dry
T20100019644,Dry
T20100019646,Dry
T20100019647,Dry
T20100019652,Wet
T20100019653,Dry
T20100019656,Dry
T20100019657,Unknown
T20100019661,Unknown
T20100019664,Dry
T20100019666,Dry
T20100019668,Dry
T20100019669,Dry
T20100019675,Dry
T20100019676,Dry
T20100019678,Dry
T20100019680,Dry
T20100019695,Dry
T20100019700,Dry
T20100019701,Dry
T20100019702,Dry
T20100019709,Dry
T20100019711,Dry
T20100019712,Dry
T20100019715,Dry
T20100019716,Dry
T20100019719,Dry
T20100019720,Dry
T20100019721,Dry
T20100019730,Dry
T20100019731,Dry
T20100019737,Dry
T20100019739,Dry
T20100019742,Unknown
T20100019745,Dry
T20100019756,Dry
T20100019769,Dry
T20100019772,Dry
T20100019773,Dry
T20100019783,Dry
T20100019786,Dry
T20100019789,Dry
T20100019791,Dry
T20100019803,Dry
T20100019812,Wet
T20100019813,Dry
T20100019818,Dry
T20100019822,Dry
T20100019824,Dry
T20100019830,Dry
T20100019833,Dry
T20100019839,Dry
T20100019841,Dry
T20100019843,Dry
T20100019852,Dry
T20100019854,Dry
T20100019855,Dry
T20100019856,Dry
T20100019859,Dry
T20100019861,Dry
T20100019865,Dry
T20100019866,Dry
T20100019867,Dry
T20100019868,Dry
T20100019870,Dry
T20100019877,Unknown
T20100019886,Dry
T20100019889,Dry
T20100019893,Icy
T20100019895,Dry
T20100019896,Dry
T20100019900,Dry
T20100019902,Dry
T20100019905,Dry
T20100019907,Dry
T20100019908,Dry
T20100019911,Dry
T20100019912,Dry
T20100019918,Dry
T20100019920,Dry
T20100019921,Dry
T20100019926,Dry
T20100019933,Dry
T20100019939,Dry
T20100019941,Unknown
T20100019955,Dry
T20100019960,Dry
T20100019962,Dry
T20100019963,Dry
T20100019964,Dry
T20100019965,Dry
T20100019966,Unknown
T20100019967,Dry
T20100019968,Dry
T20100019969,Dry
T20100019970,Dry
T20100019978,Dry
T20100019979,Dry
T20100019986,Dry
T20100019992,Dry
T20100019995,Dry
T20100019998,Dry
T20100020000,Dry
T20100020001,Dry
T20100020006,Dry
T20100020012,Unknown
T20100020015,Dry
T20100020019,Dry
T20100020020,Dry
T20100020026,Dry
T20100020028,Dry
T20100020031,Dry
T20100020032,Dry
T20100020033,Dry
T20100020034,Dry
T20100020035,Dry
T20100020041,Dry
T20100020043,Wet
T20100020049,Dry
T20100020053,Dry
T20100020055,Dry
T20100020061,Dry
T20100020067,Dry
T20100020068,Dry
T20100020072,Dry
T20100020076,Dry
T20100020077,Wet
T20100020078,Dry
T20100020080,Dry
T20100020084,Dry
T20100020085,Dry
T20100020096,Wet
T20100020098,Unknown
T20100020100,Dry
T20100020104,Unknown
T20100020114,Dry
T20100020117,Dry
T20100020124,Wet
T20100020135,Dry
T20100020141,Wet
T20100020143,Dry
T20100020150,Dry
T20100020151,Unknown
T20100020153,Wet
T20100020157,Wet
T20100020164,Wet
T20100020166,Wet
T20100020169,Wet
T20100020170,Wet
T20100020172,Wet
T20100020173,Dry
T20100020174,Wet
T20100020176,Wet
T20100020179,Dry
T20100020181,Wet
T20100020182,Wet
T20100020186,Wet
T20100020195,Dry
T20100020196,Dry
T20100020205,Wet
T20100020206,Wet
T20100020208,Dry
T20100020212,Dry
T20100020217,Wet
T20100020228,Wet
T20100020236,Wet
T20100020238,Wet
T20100020241,Wet
T20100020242,Wet
T20100020247,Wet
T20100020249,Wet
T20100020256,Wet
T20100020256,Icy
T20100020258,Wet
T20100020262,Wet
T20100020274,Wet
T20100020278,Wet
T20100020283,Wet
T20100020284,Dry
T20100020286,Wet
T20100020288,Dry
T20100020289,Muddy
T20100020292,Wet
T20100020293,Wet
T20100020299,Dry
T20100020301,Dry
T20100020309,Wet
T20100020310,Wet
T20100020312,Wet
T20100020314,Wet
T20100020318,Dry
T20100020321,Dry
T20100020326,Dry
T20100020327,Wet
T20100020329,Dry
T20100020335,Wet
T20100020338,Dry
T20100020339,Wet
T20100020340,Wet
T20100020343,Wet
T20100020348,Dry
T20100020359,Wet
T20100020369,Dry
T20100020378,Wet
T20100020384,Wet
T20100020386,Wet
T20100020387,Wet
T20100020388,Wet
T20100020391,Dry
T20100020398,Wet
T20100020406,Wet
T20100020413,Wet
T20100020418,Wet
T20100020421,Dry
T20100020425,Wet
T20100020426,Wet
T20100020427,Dry
T20100020429,Wet
T20100020431,Wet
T20100020435,Dry
T20100020441,Wet
T20100020445,Dry
T20100020447,Dry
T20100020448,Wet
T20100020453,Dry
T20100020455,Wet
T20100020465,Dry
T20100020468,Wet
T20100020470,Wet
T20100020480,Dry
T20100020483,Dry
T20100020487,Dry
T20100020490,Dry
T20100020502,Unknown
T20100020506,Wet
T20100020511,Dry
T20100020513,Dry
T20100020514,Dry
T20100020516,Wet
T20100020523,Dry
T20100020531,Dry
T20100020532,Dry
T20100020533,Dry
T20100020546,Wet
T20100020549,Wet
T20100020549,Muddy
T20100020550,Dry
T20100020551,Dry
T20100020552,Dry
T20100020554,Dry
T20100020559,Wet
T20100020561,Unknown
T20100020562,Dry
T20100020570,Dry
T20100020574,Dry
T20100020578,Dry
T20100020580,Wet
T20100020584,Wet
T20100020585,Dry
T20100020588,Dry
T20100020591,Dry
T20100020608,Dry
T20100020616,Dry
T20100020624,Dry
T20100020625,Wet
T20100020626,Wet
T20100020628,Dry
T20100020629,Dry
T20100020631,Wet
T20100020634,Dry
T20100020635,Dry
T20100020637,Unknown
T20100020638,Dry
T20100020641,Dry
T20100020652,Wet
T20100020653,Wet
T20100020654,Dry
T20100020655,Dry
T20100020660,Dry
T20100020661,Unknown
T20100020664,Wet
T20100020665,Wet
T20100020667,Dry
T20100020670,Wet
T20100020674,Dry
T20100020699,Unknown
T20100020704,Wet
T20100020713,Dry
T20100020714,Wet
T20100020721,Dry
T20100020723,Dry
T20100020724,Dry
T20100020730,Dry
T20100020734,Dry
T20100020744,Dry
T20100020750,Dry
T20100020751,Dry
T20100020753,Dry
T20100020754,Dry
T20100020755,Wet
T20100020757,Wet
T20100020759,Dry
T20100020761,Dry
T20100020771,Wet
T20100020773,Dry
T20100020777,Unknown
T20100020787,Dry
T20100020792,Wet
T20100020795,Dry
T20100020796,Dry
T20100020799,Dry
T20100020800,Dry
T20100020803,Dry
T20100020806,Wet
T20100020807,Wet
T20100020809,Wet
T20100020815,Wet
T20100020816,Dry
T20100020817,Wet
T20100020822,Dry
T20100020832,Wet
T20100020833,Wet
T20100020837,Dry
T20100020840,Dry
T20100020849,Dry
T20100020851,Wet
T20100020852,Unknown
T20100020854,Dry
T20100020862,Dry
T20100020863,Dry
T20100020873,Dry
T20100020877,Unknown
T20100020881,Dry
T20100020883,Wet
T20100020886,Dry
T20100020888,Dry
T20100020897,Dry
T20100020899,Dry
T20100020903,Dry
T20100020905,Dry
T20100020906,Dry
T20100020913,Unknown
T20100020920,Dry
T20100020925,Wet
T20100020926,Wet
T20100020928,Dry
T20100020936,Wet
T20100020937,Dry
T20100020939,Wet
T20100020946,Wet
T20100020949,Wet
T20100020951,Wet
T20100020955,Wet
T20100020958,Dry
T20100020965,Dry
T20100020969,Wet
T20100020972,Dry
T20100020975,Dry
T20100020977,Wet
T20100020978,Wet
T20100020983,Wet
T20100020988,Dry
T20100020989,Wet
T20100020993,Wet
T20100020995,Wet
T20100021002,Wet
T20100021004,Dry
T20100021012,Wet
T20100021014,Dry
T20100021018,Wet
T20100021020,Wet
T20100021023,Wet
T20100021023,Muddy
T20100021028,Dry
T20100021035,Wet
T20100021036,Wet
T20100021047,Wet
T20100021050,Dry
T20100021054,Dry
T20100021057,Wet
T20100021059,Wet
T20100021060,Dry
T20100021062,Wet
T20100021064,Wet
T20100021066,Dry
T20100021069,Wet
T20100021070,Dry
T20100021073,Wet
T20100021076,Wet
T20100021083,Dry
T20100021086,Wet
T20100021087,Wet
T20100021099,Dry
T20100021110,Dry
T20100021114,Dry
T20100021118,Dry
T20100021120,Wet
T20100021128,Dry
T20100021131,Dry
T20100021136,Dry
T20100021140,Dry
T20100021142,Dry
T20100021173,Dry
T20100021179,Wet
T20100021181,Dry
T20100021183,Dry
T20100021194,Dry
T20100021195,Dry
T20100021199,Dry
T20100021204,Dry
T20100021208,Dry
T20100021209,Dry
T20100021219,Wet
T20100021227,Dry
T20100021230,Dry
T20100021233,Dry
T20100021235,Dry
T20100021237,Dry
T20100021239,Dry
T20100021240,Dry
T20100021244,Dry
T20100021247,Dry
T20100021255,Wet
T20100021261,Dry
T20100021264,Dry
T20100021267,Wet
T20100021267,Muddy
T20100021274,Dry
T20100021276,Dry
T20100021279,Unknown
T20100021303,Unknown
T20100021304,Dry
T20100021306,Dry
T20100021307,Dry
T20100021308,Dry
T20100021310,Dry
T20100021313,Dry
T20100021315,Dry
T20100021322,Dry
T20100021327,Dry
T20100021335,Dry
T20100021339,Dry
T20100021343,Unknown
T20100021344,Dry
T20100021347,Wet
T20100021350,Wet
T20100021352,Dry
T20100021354,Dry
