accident_no,atmosph_cond_desc
T20060040778,Clear
T20060040779,Not known
T20060040783,Clear
T20060040786,Clear
T20060040795,Clear
T20060040799,Clear
T20060040800,Clear
T20060040803,Clear
T20060040808,Clear
T20060040809,Clear
T20060040812,Clear
T20060040816,Clear
T20060040817,Clear
T20060040819,Clear
T20060040833,Clear
T20060040835,Clear
T20060040836,Clear
T20060040841,Clear
T20060040842,Clear
T20060040843,Not known
T20060040844,Clear
T20060040850,Clear
T20060040851,Clear
T20060040858,Clear
T20060040861,Clear
T20060040864,Clear
T20060040867,Clear
T20060040869,Clear
T20060040876,Clear
T20060040879,Clear
T20060040886,Clear
T20060040891,Clear
T20060040897,Clear
T20060040903,Raining
T20060040904,Raining
T20060040904,Fog
T20060040906,Clear
T20060040909,Clear
T20060040920,Raining
T20060040921,Raining
T20060040923,Raining
T20060040924,Raining
T20060040932,Clear
T20060040934,Not known
T20060040935,Clear
T20060040936,Raining
T20060040940,Raining
T20060040944,Raining
T20060040952,Raining
T20060040958,Raining
T20060040963,Raining
T20060040967,Raining
T20060040969,Clear
T20060040970,Clear
T20060040971,Raining
T20060040972,Raining
T20060040978,Clear
T20060040980,Clear
T20060040986,Raining
T20060040993,Raining
T20060040997,Raining
T20060040999,Not known
T20060041003,Clear
T20060041005,Clear
T20060041014,Clear
T20060041019,Clear
T20060041020,Clear
T20060041021,Clear
T20060041026,Clear
T20060041031,Raining
T20060041032,Clear
T20060041036,Clear
T20060041044,Clear
T20060041055,Clear
T20060041058,Clear
T20060041060,Clear
T20060041061,Clear
T20060041062,Clear
T20060041063,Clear
T20060041066,Clear
T20060041082,Clear
T20060041085,Clear
T20060041086,Clear
T20060041088,Clear
T20060041092,Clear
T20060041094,Clear
T20060041096,Clear
T20060041098,Clear
T20060041102,Clear
T20060041103,Clear
T20060041105,Clear
T20060041109,Clear
T20060041111,Clear
T20060041114,Clear
T20060041117,Clear
T20060041118,Raining
T20060041120,Clear
T20060041121,Clear
T20060041124,Clear
T20060041127,Clear
T20060041136,Clear
T20060041139,Clear
T20060041144,Clear
T20060041145,Clear
T20060041147,Clear
T20060041148,Clear
T20060041151,Clear
T20060041155,Clear
T20060041164,Clear
T20060041165,Clear
T20060041167,Clear
T20060041171,Clear
T20060041180,Clear
T20060041183,Clear
T20060041186,Clear
T20060041189,Raining
T20060041190,Clear
T20060041197,Clear
T20060041198,Clear
T20060041200,Clear
T20060041207,Clear
T20060041213,Clear
T20060041215,Clear
T20060041219,Clear
T20060041223,Clear
T20060041227,Clear
T20060041234,Clear
T20060041237,Clear
T20060041249,Clear
T20060041253,Not known
T20060041258,Clear
T20060041261,Clear
T20060041263,Clear
T20060041269,Clear
T20060041272,Clear
T20060041273,Clear
T20060041276,Clear
T20060041278,Clear
T20060041283,Clear
T20060041285,Clear
T20060041289,Clear
T20060041291,Clear
T20060041299,Clear
T20060041307,Clear
T20060041314,Clear
T20060041316,Clear
T20060041317,Clear
T20060041328,Clear
T20060041330,Clear
T20060041331,Clear
T20060041336,Clear
T20060041340,Clear
T20060041341,Clear
T20060041343,Clear
T20060041344,Clear
T20060041347,Clear
T20060041351,Clear
T20060041352,Clear
T20060041354,Clear
T20060041354,Strong winds
T20060041359,Clear
T20060041362,Clear
T20060041363,Clear
T20060041364,Clear
T20060041366,Clear
T20060041368,Clear
T20060041379,Clear
T20060041380,Clear
T20060041382,Clear
T20060041387,Clear
T20060041391,Clear
T20060041393,Clear
T20060041394,Clear
T20060041396,Clear
T20060041398,Clear
T20060041403,Clear
T20060041410,Clear
T20060041415,Clear
T20060041425,Clear
T20060041429,Clear
T20060041431,Clear
T20060041432,Clear
T20060041434,Clear
T20060041435,Clear
T20060041438,Clear
T20060041439,Clear
T20060041443,Clear
T20060041444,Clear
T20060041445,Clear
T20060041447,Clear
T20060041453,Clear
T20060041454,Clear
T20060041456,Clear
T20060041458,Clear
T20060041461,Not known
T20060041469,Clear
T20060041472,Clear
T20060041477,Clear
T20060041480,Clear
T20060041487,Clear
T20060041501,Clear
T20060041509,Clear
T20060041513,Clear
T20060041514,Clear
T20060041519,Not known
T20060041524,Clear
T20060041527,Clear
T20060041528,Clear
T20060041531,Clear
T20060041535,Clear
T20060041542,Clear
T20060041546,Clear
T20060041555,Clear
T20060041559,Clear
T20060041567,Clear
T20060041570,Clear
T20060041572,Clear
T20060041585,Clear
T20060041586,Clear
T20060041593,Clear
T20060041596,Clear
T20060041597,Clear
T20060041606,Clear
T20060041607,Clear
T20060041613,Clear
T20060041614,Clear
T20060041616,Clear
T20060041619,Clear
T20060041620,Clear
T20060041624,Clear
T20060041626,Clear
T20060041627,Clear
T20060041630,Clear
T20060041631,Clear
T20060041634,Clear
T20060041637,Clear
T20060041641,Clear
T20060041642,Clear
T20060041643,Clear
T20060041646,Clear
T20060041648,Clear
T20060041649,Clear
T20060041650,Clear
T20060041651,Clear
T20060041656,Not known
T20060041660,Clear
T20060041661,Clear
T20060041666,Clear
T20060041667,Clear
T20060041669,Clear
T20060041672,Clear
T20060041673,Clear
T20060041674,Clear
T20060041678,Clear
T20060041679,Clear
T20060041681,Clear
T20060041682,Clear
T20060041688,Not known
T20060041693,Clear
T20060041694,Clear
T20060041697,Clear
T20060041700,Clear
T20060041708,Clear
T20060041711,Clear
T20060041713,Clear
T20060041714,Clear
T20060041715,Clear
T20060041723,Clear
T20060041727,Clear
T20060041728,Clear
T20060041740,Clear
T20060041743,Clear
T20060041746,Clear
T20060041755,Clear
T20060041757,Clear
T20060041759,Clear
T20060041762,Clear
T20060041763,Clear
T20060041773,Clear
T20060041775,Clear
T20060041783,Clear
T20060041786,Clear
T20060041793,Clear
T20060041797,Clear
T20060041799,Clear
T20060041804,Clear
T20060041809,Clear
T20060041812,Clear
T20060041814,Clear
T20060041818,Clear
T20060041821,Clear
T20060041823,Clear
T20060041826,Clear
T20060041829,Clear
T20060041831,Clear
T20060041836,Clear
T20060041840,Clear
T20060041841,Not known
T20060041842,Clear
T20060041843,Clear
T20060041854,Clear
T20060041855,Clear
T20060041857,Clear
T20060041861,Clear
T20060041868,Clear
T20060041869,Clear
T20060041872,Clear
T20060041874,Clear
T20060041882,Clear
T20060041883,Clear
T20060041890,Clear
T20060041891,Clear
T20060041899,Clear
T20060041900,Clear
T20060041915,Clear
T20060041916,Clear
T20060041921,Clear
T20060041926,Clear
T20060041939,Clear
T20060041940,Clear
T20060041941,Clear
T20060041954,Clear
T20060041955,Clear
T20060041957,Clear
T20060041963,Clear
T20060041965,Clear
T20060041966,Clear
T20060041969,Clear
T20060041970,Clear
T20060041974,Clear
T20060041975,Clear
T20060041979,Clear
T20060041984,Clear
T20060041988,Clear
T20060041992,Clear
T20060041999,Clear
T20060042001,Clear
T20060042006,Clear
T20060042017,Clear
T20060042018,Clear
T20060042020,Clear
T20060042021,Clear
T20060042025,Clear
T20060042026,Clear
T20060042027,Dust
T20060042031,Clear
T20060042033,Clear
T20060042034,Dust
T20060042036,Clear
T20060042040,Clear
T20060042041,Clear
T20060042043,Clear
T20060042046,Clear
T20060042047,Clear
T20060042051,Clear
T20060042053,Clear
T20060042063,Clear
T20060042065,Clear
T20060042066,Clear
T20060042067,Clear
T20060042068,Clear
T20060042080,Clear
T20060042081,Clear
T20060042084,Clear
T20060042086,Clear
T20060042088,Clear
T20060042093,Clear
T20060042098,Clear
T20060042107,Clear
T20060042112,Clear
T20060042115,Clear
T20060042119,Clear
T20060042124,Clear
T20060042129,Clear
T20060042133,Clear
T20060042134,Clear
T20060042137,Clear
T20060042138,Clear
T20060042142,Clear
T20060042150,Clear
T20060042155,Clear
T20060042159,Clear
T20060042163,Clear
T20060042165,Clear
T20060042168,Clear
T20060042170,Not known
T20060042176,Clear
T20060042181,Clear
T20060042182,Clear
T20060042186,Clear
T20060042187,Raining
T20060042190,Clear
T20060042192,Clear
T20060042206,Clear
T20060042206,Strong winds
T20060042210,Not known
T20060042212,Clear
T20060042216,Raining
T20060042218,Clear
T20060042222,Clear
T20060042225,Clear
T20060042226,Clear
T20060042231,Clear
T20060042240,Raining
T20060042249,Clear
T20060042254,Raining
T20060042270,Raining
T20060042275,Clear
T20060042276,Clear
T20060042278,Clear
T20060042280,Clear
T20060042285,Raining
T20060042291,Raining
T20060042291,Strong winds
T20060042299,Clear
T20060042300,Clear
T20060042302,Clear
T20060042303,Clear
T20060042305,Raining
T20060042305,Strong winds
T20060042307,Raining
T20060042307,Strong winds
T20060042314,Raining
T20060042316,Clear
T20060042320,Raining
T20060042320,Strong winds
T20060042322,Raining
T20060042326,Clear
T20060042330,Clear
T20060042332,Raining
T20060042332,Strong winds
T20060042334,Raining
T20060042334,Strong winds
T20060042335,Clear
T20060042340,Not known
T20060042344,Clear
T20060042346,Clear
T20060042346,Strong winds
T20060042347,Clear
T20060042351,Clear
T20060042356,Clear
T20060042357,Clear
T20060042360,Clear
T20060042367,Clear
T20060042368,Not known
T20060042371,Raining
T20060042377,Raining
T20060042378,Clear
T20060042380,Clear
T20060042380,Strong winds
T20060042382,Not known
T20060042383,Clear
T20060042387,Clear
T20060042388,Clear
T20060042389,Clear
T20060042393,Clear
T20060042395,Clear
T20060042397,Clear
T20060042403,Clear
T20060042418,Clear
T20060042419,Clear
T20060042421,Clear
T20060042423,Clear
T20060042424,Clear
T20060042425,Clear
T20060042426,Clear
T20060042428,Clear
T20060042432,Raining
T20060042435,Raining
T20060042435,Fog
T20060042443,Raining
T20060042447,Clear
T20060042450,Raining
T20060042450,Strong winds
T20060042452,Clear
T20060042458,Clear
T20060042459,Clear
T20060042468,Raining
T20060042472,Clear
T20060042478,Clear
T20060042481,Raining
T20060042481,Snowing
T20060042483,Raining
T20060042483,Strong winds
T20060042487,Clear
T20060042488,Clear
T20060042494,Raining
T20060042494,Snowing
T20060042494,Strong winds
T20060042495,Raining
T20060042496,Not known
T20060042501,Raining
T20060042506,Raining
T20060042514,Clear
T20060042516,Raining
T20060042516,Snowing
T20060042516,Strong winds
T20060042520,Raining
T20060042522,Raining
T20060042522,Snowing
T20060042524,Clear
T20060042525,Raining
T20060042526,Clear
T20060042529,Raining
T20060042532,Raining
T20060042534,Clear
T20060042555,Raining
T20060042555,Strong winds
T20060042556,Clear
T20060042567,Clear
T20060042569,Clear
T20060042574,Clear
T20060042575,Clear
T20060042580,Raining
T20060042582,Raining
T20060042582,Strong winds
T20060042588,Clear
T20060042595,Clear
T20060042605,Raining
T20060042606,Strong winds
T20060042609,Raining
T20060042614,Not known
T20060042617,Raining
T20060042617,Strong winds
T20060042619,Raining
T20060042623,Raining
T20060042624,Raining
T20060042624,Snowing
T20060042624,Strong winds
T20060042627,Clear
T20060042629,Raining
T20060042630,Clear
T20060042634,Clear
T20060042640,Clear
T20060042641,Clear
T20060042642,Clear
T20060042646,Snowing
T20060042646,Strong winds
T20060042650,Clear
T20060042652,Clear
T20060042662,Clear
T20060042665,Clear
T20060042673,Clear
T20060042674,Clear
T20060042679,Clear
T20060042680,Not known
T20060042684,Clear
T20060042685,Clear
T20060042688,Clear
T20060042691,Clear
T20060042692,Clear
T20060042695,Clear
T20060042698,Clear
T20060042701,Clear
T20060042705,Clear
T20060042709,Clear
T20060042717,Clear
T20060042721,Clear
T20060042725,Clear
T20060042733,Raining
T20060042734,Clear
T20060042736,Clear
T20060042746,Clear
T20060042748,Clear
T20060042753,Clear
T20060042754,Clear
T20060042758,Clear
T20060042759,Not known
T20060042760,Raining
T20060042760,Strong winds
T20060042762,Clear
T20060042763,Clear
T20060042764,Clear
T20060042773,Clear
T20060042784,Clear
T20060042790,Clear
T20060042798,Clear
T20060042800,Clear
T20060042805,Clear
T20060042806,Clear
T20060042810,Clear
T20060042812,Clear
T20060042816,Not known
T20060042818,Clear
T20060042819,Clear
T20060042820,Raining
T20060042822,Clear
T20060042825,Clear
T20060042827,Clear
T20060042832,Clear
T20060042833,Clear
T20060042837,Clear
T20060042840,Clear
T20060042859,Clear
T20060042868,Clear
T20060042872,Clear
T20060042875,Clear
T20060042876,Clear
T20060042882,Clear
T20060042883,Clear
T20060042887,Clear
T20060042888,Clear
T20060042891,Clear
T20060042892,Clear
T20060042893,Clear
T20060042895,Clear
T20060042900,Clear
T20060042903,Clear
T20060042905,Fog
T20060042906,Clear
T20060042911,Clear
T20060042915,Clear
T20060042917,Clear
T20060042924,Clear
T20060042925,Clear
T20060042932,Clear
T20060042934,Clear
T20060042937,Dust
T20060042939,Clear
T20060042940,Clear
T20060042942,Clear
T20060042945,Clear
T20060042960,Clear
T20060042962,Clear
T20060042964,Clear
T20060042965,Clear
T20060042968,Clear
T20060042969,Not known
T20060042970,Clear
T20060042972,Clear
T20060042974,Clear
T20060042975,Clear
T20060042976,Clear
T20060042985,Clear
T20060042991,Clear
T20060042992,Clear
T20060042996,Clear
T20060043002,Clear
T20060043006,Clear
T20060043008,Clear
T20060043011,Clear
T20060043015,Clear
T20060043021,Clear
T20060043022,Clear
T20060043030,Clear
T20060043033,Clear
T20060043034,Clear
T20060043037,Clear
T20060043041,Clear
T20060043044,Clear
T20060043045,Clear
T20060043046,Clear
T20060043047,Clear
T20060043050,Clear
T20060043054,Clear
T20060043056,Clear
T20060043061,Clear
T20060043064,Clear
T20060043065,Clear
T20060043070,Clear
T20060043072,Clear
T20060043073,Clear
T20060043075,Clear
T20060043076,Clear
T20060043078,Clear
T20060043083,Clear
T20060043101,Clear
T20060043104,Clear
T20060043105,Clear
T20060043109,Clear
T20060043117,Clear
T20060043118,Clear
T20060043120,Clear
T20060043121,Clear
T20060043122,Clear
T20060043125,Clear
T20060043127,Clear
T20060043128,Clear
T20060043131,Clear
T20060043133,Clear
T20060043135,Clear
T20060043137,Clear
T20060043138,Not known
T20060043140,Clear
T20060043145,Clear
T20060043146,Clear
T20060043149,Clear
T20060043150,Clear
T20060043151,Clear
T20060043155,Clear
T20060043156,Clear
T20060043161,Clear
T20060043165,Clear
T20060043168,Clear
T20060043169,Clear
T20060043173,Clear
T20060043174,Clear
T20060043177,Clear
T20060043180,Clear
T20060043182,Clear
T20060043184,Not known
T20060043185,Clear
T20060043186,Clear
T20060043190,Clear
T20060043205,Clear
T20060043206,Clear
T20060043207,Clear
T20060043211,Clear
T20060043212,Clear
T20060043218,Clear
T20060043219,Clear
T20060043220,Clear
T20060043222,Clear
T20060043223,Clear
T20060043225,Clear
T20060043227,Clear
T20060043229,Clear
T20060043233,Clear
T20060043234,Clear
T20060043235,Clear
T20060043237,Clear
T20060043238,Clear
T20060043241,Clear
T20060043248,Clear
T20060043251,Clear
T20060043252,Clear
T20060043254,Clear
T20060043259,Clear
T20060043262,Clear
T20060043267,Clear
T20060043273,Clear
T20060043274,Clear
T20060043275,Clear
T20060043276,Clear
T20060043279,Clear
T20060043280,Clear
T20060043284,Clear
T20060043287,Clear
T20060043288,Clear
T20060043289,Clear
T20060043291,Clear
T20060043293,Clear
T20060043295,Clear
T20060043296,Clear
T20060043299,Clear
T20060043303,Clear
T20060043307,Clear
T20060043308,Clear
T20060043310,Clear
T20060043312,Clear
T20060043317,Clear
T20060043319,Clear
T20060043321,Clear
T20060043322,Dust
T20060043322,Strong winds
T20060043339,Clear
T20060043351,Clear
T20060043352,Smoke
T20060043352,Strong winds
T20060043353,Clear
T20060043357,Clear
T20060043360,Clear
T20060043362,Clear
T20060043363,Clear
T20060043370,Clear
T20060043371,Clear
T20060043372,Clear
T20060043375,Clear
T20060043377,Clear
T20060043388,Clear
T20060043390,Clear
T20060043395,Not known
T20060043403,Clear
T20060043404,Raining
T20060043405,Strong winds
T20060043408,Clear
T20060043411,Clear
T20060043414,Clear
T20060043415,Clear
T20060043419,Clear
T20060043422,Clear
T20060043423,Clear
T20060043426,Clear
T20060043429,Clear
T20060043430,Clear
T20060043431,Clear
T20060043433,Not known
T20060043435,Clear
T20060043436,Clear
T20060043437,Clear
T20060043444,Clear
T20060043445,Clear
T20060043447,Clear
T20060043448,Clear
T20060043450,Clear
T20060043458,Clear
T20060043463,Clear
T20060043464,Clear
T20060043467,Clear
T20060043470,Clear
T20060043472,Clear
T20060043475,Clear
T20060043477,Clear
T20060043477,Strong winds
T20060043479,Clear
T20060043481,Clear
T20060043483,Clear
T20060043485,Clear
T20060043487,Clear
T20060043492,Clear
T20060043495,Clear
T20060043503,Clear
T20060043505,Clear
T20060043514,Clear
T20060043516,Clear
T20060043517,Clear
T20060043521,Clear
T20060043523,Clear
T20060043524,Clear
T20060043525,Clear
T20060043526,Clear
T20060043531,Clear
T20060043540,Clear
T20060043544,Clear
T20060043547,Clear
T20060043548,Clear
T20060043551,Clear
T20060043556,Not known
T20060043558,Clear
T20060043571,Not known
T20060043572,Clear
T20060043574,Clear
T20060043575,Clear
T20060043584,Clear
T20060043590,Clear
T20060043595,Clear
T20060043596,Clear
T20060043599,Clear
T20060043602,Clear
T20060043603,Clear
T20060043607,Clear
T20060043609,Clear
T20060043613,Clear
T20060043620,Clear
T20060043631,Clear
T20060043636,Clear
T20060043639,Clear
T20060043643,Clear
T20060043644,Clear
T20060043646,Not known
T20060043649,Clear
T20060043654,Clear
T20060043658,Clear
T20060043659,Clear
T20060043662,Clear
T20060043665,Clear
T20060043666,Clear
T20060043667,Clear
T20060043669,Clear
T20060043674,Clear
T20060043676,Clear
T20060043681,Clear
T20060043683,Clear
T20060043684,Clear
T20060043689,Not known
T20060043700,Clear
T20060043707,Clear
T20060043713,Clear
T20060043717,Clear
T20060043720,Clear
T20060043721,Clear
T20060043725,Clear
T20060043729,Clear
T20060043731,Clear
T20060043732,Clear
T20060043734,Clear
T20060043736,Clear
T20060043737,Clear
T20060043743,Clear
T20060043744,Clear
T20060043751,Clear
T20060043752,Clear
T20060043754,Clear
T20060043758,Clear
T20060043770,Clear
T20060043775,Clear
T20060043776,Clear
T20060043778,Clear
T20060043779,Clear
T20060043780,Clear
T20060043782,Clear
T20060043787,Clear
T20060043801,Clear
T20060043803,Clear
T20060043805,Clear
T20060043809,Clear
T20060043810,Clear
T20060043816,Clear
T20060043823,Clear
T20060043836,Clear
T20060043838,Clear
T20060043840,Clear
T20060043843,Clear
T20060043844,Clear
T20060043846,Clear
T20060043847,Clear
T20060043858,Clear
T20060043860,Clear
T20060043861,Clear
T20060043863,Clear
T20060043865,Clear
T20060043866,Clear
T20060043872,Clear
T20060043874,Clear
T20060043883,Clear
T20060043891,Clear
T20060043898,Clear
T20060043900,Clear
T20060043920,Not known
T20060043924,Clear
T20060043928,Clear
T20060043930,Clear
T20060043931,Clear
T20060043933,Not known
T20060043935,Clear
T20060043937,Clear
T20060043941,Clear
T20060043942,Clear
T20060043953,Clear
T20060043955,Clear
T20060043956,Clear
T20060043959,Clear
T20060043969,Clear
T20060043970,Clear
T20060043973,Clear
T20060043976,Clear
T20060043978,Clear
T20060043985,Clear
T20060043986,Clear
T20060043989,Clear
T20060043991,Clear
T20060043993,Clear
T20060043998,Clear
T20060044003,Clear
T20060044005,Clear
T20060044007,Clear
T20060044008,Clear
T20060044009,Clear
T20060044013,Clear
T20060044016,Fog
T20060044021,Clear
T20060044022,Clear
T20060044025,Clear
T20060044033,Clear
T20060044034,Clear
T20060044040,Dust
T20060044042,Clear
T20060044046,Clear
T20060044055,Clear
T20060044062,Clear
T20060044063,Clear
T20060044074,Clear
T20060044075,Clear
T20060044079,Clear
T20060044080,Clear
T20060044083,Clear
T20060044084,Clear
T20060044085,Clear
T20060044087,Clear
T20060044089,Clear
T20060044092,Clear
T20060044094,Clear
T20060044097,Clear
T20060044098,Clear
T20060044101,Clear
T20060044104,Clear
T20060044107,Clear
T20060044114,Clear
T20060044118,Clear
T20060044123,Clear
T20060044127,Clear
T20060044134,Clear
T20060044143,Clear
T20060044145,Clear
T20060044149,Clear
T20060044152,Clear
T20060044153,Clear
T20060044158,Clear
T20060044159,Clear
T20060044166,Clear
T20060044169,Clear
T20060044173,Clear
T20060044176,Clear
T20060044177,Clear
T20060044178,Clear
T20060044180,Clear
T20060044181,Clear
T20060044194,Clear
T20060044206,Clear
T20060044209,Clear
T20060044224,Clear
T20060044229,Clear
T20060044230,Clear
T20060044234,Clear
T20060044238,Clear
T20060044246,Clear
T20060044255,Clear
T20060044257,Clear
T20060044262,Clear
T20060044267,Clear
T20060044268,Clear
T20060044270,Clear
T20060044278,Clear
T20060044279,Clear
T20060044282,Clear
T20060044284,Clear
T20060044288,Clear
T20060044292,Clear
T20060044293,Clear
T20060044297,Clear
T20060044301,Clear
T20060044307,Clear
T20060044310,Raining
T20060044312,Clear
T20060044314,Clear
T20060044315,Clear
T20060044321,Clear
T20060044326,Clear
T20060044328,Clear
T20060044329,Clear
T20060044335,Raining
T20060044339,Clear
T20060044345,Clear
T20060044348,Clear
T20060044352,Clear
T20060044356,Clear
T20060044357,Clear
T20060044358,Clear
T20060044366,Raining
T20060044371,Clear
T20060044376,Clear
T20060044377,Clear
T20060044393,Clear
T20060044394,Clear
T20060044395,Clear
T20060044397,Clear
T20060044398,Clear
T20060044399,Clear
T20060044410,Clear
T20060044411,Clear
T20060044413,Clear
T20060044416,Clear
T20060044417,Clear
T20060044418,Clear
T20060044420,Clear
T20060044425,Clear
T20060044427,Clear
T20060044433,Clear
T20060044434,Clear
T20060044435,Clear
T20060044438,Clear
T20060044439,Clear
T20060044440,Clear
T20060044449,Clear
T20060044455,Clear
T20060044456,Clear
T20060044462,Clear
T20060044471,Clear
T20060044473,Clear
T20060044475,Clear
T20060044477,Clear
T20060044482,Clear
T20060044483,Clear
T20060044486,Clear
T20060044487,Clear
T20060044490,Clear
T20060044491,Clear
T20060044493,Clear
T20060044503,Clear
T20060044504,Clear
T20060044505,Clear
T20060044507,Clear
T20060044509,Clear
T20060044510,Clear
T20060044511,Raining
T20060044512,Clear
T20060044514,Clear
T20060044514,Strong winds
T20060044518,Clear
T20060044524,Clear
T20060044526,Clear
T20060044527,Clear
T20060044527,Strong winds
T20060044530,Clear
T20060044531,Not known
T20060044533,Clear
T20060044538,Clear
T20060044539,Clear
T20060044542,Clear
T20060044548,Clear
T20060044549,Clear
T20060044560,Clear
T20060044564,Clear
T20060044567,Clear
T20060044575,Clear
T20060044577,Clear
T20060044580,Clear
T20060044582,Clear
T20060044583,Clear
T20060044584,Clear
T20060044586,Clear
T20060044592,Clear
T20060044599,Clear
T20060044601,Clear
T20060044603,Clear
T20060044611,Clear
T20060044612,Clear
T20060044616,Clear
T20060044618,Clear
T20060044626,Clear
T20060044630,Clear
T20060044634,Clear
T20060044636,Not known
T20060044640,Clear
T20060044641,Clear
T20060044642,Clear
T20060044644,Clear
T20060044650,Clear
T20060044655,Raining
T20060044659,Clear
T20060044668,Clear
T20060044669,Clear
T20060044671,Clear
T20060044672,Clear
T20060044673,Clear
T20060044675,Clear
T20060044679,Clear
T20060044686,Clear
T20060044692,Clear
T20060044693,Clear
T20060044695,Clear
T20060044699,Clear
T20060044703,Clear
T20060044704,Clear
T20060044705,Clear
T20060044706,Clear
T20060044708,Clear
T20060044711,Raining
T20060044713,Clear
T20060044714,Clear
T20060044716,Clear
T20060044717,Clear
T20060044718,Clear
T20060044721,Clear
T20060044728,Clear
T20060044731,Clear
T20060044732,Clear
T20060044736,Clear
T20060044744,Clear
T20060044748,Clear
T20060044757,Clear
T20060044758,Clear
T20060044758,Strong winds
T20060044759,Clear
T20060044760,Clear
T20060044762,Clear
T20060044764,Clear
T20060044772,Clear
T20060044773,Clear
T20060044777,Clear
T20060044781,Clear
T20060044784,Not known
T20060044791,Raining
T20060044791,Strong winds
T20060044792,Clear
T20060044793,Clear
T20060044794,Clear
T20060044806,Clear
T20060044808,Clear
T20060044810,Clear
T20060044812,Clear
T20060044813,Clear
T20060044815,Clear
T20060044816,Clear
T20060044817,Clear
T20060044819,Clear
T20060044822,Clear
T20060044827,Clear
T20060044830,Clear
T20060044835,Clear
T20060044838,Clear
T20060044843,Clear
T20060044846,Clear
T20060044851,Clear
T20060044853,Clear
T20060044860,Clear
T20060044864,Clear
T20060044868,Clear
T20060044869,Clear
T20060044875,Clear
T20060044885,Clear
T20060044888,Not known
T20060044890,Clear
T20060044892,Clear
T20060044893,Clear
T20060044895,Clear
T20060044902,Clear
T20060044909,Clear
T20060044913,Clear
T20060044914,Clear
T20060044915,Clear
T20060044919,Clear
T20060044929,Clear
T20060044931,Clear
T20060044933,Clear
T20060044937,Clear
T20060044938,Clear
T20060044939,Clear
T20060044941,Clear
T20060044944,Clear
T20060044945,Clear
T20060044951,Clear
T20060044952,Clear
T20060044956,Clear
T20060044957,Clear
T20060044958,Clear
T20060044961,Raining
T20060044964,Clear
T20060044965,Clear
T20060044968,Clear
T20060044971,Clear
T20060044974,Clear
T20060044975,Clear
T20060044978,Clear
T20060044979,Clear
T20060044983,Clear
T20060044985,Clear
T20060044991,Clear
T20060044992,Clear
T20060044996,Clear
T20060045002,Clear
T20060045004,Clear
T20060045005,Smoke
T20060045006,Clear
T20060045010,Clear
T20060045016,Clear
T20060045022,Clear
T20060045023,Clear
T20060045026,Clear
T20060045028,Clear
T20060045030,Clear
T20060045031,Clear
T20060045037,Clear
T20060045038,Clear
T20060045042,Clear
T20060045044,Clear
T20060045051,Clear
T20060045053,Clear
T20060045054,Clear
T20060045055,Clear
T20060045058,Clear
T20060045059,Clear
T20060045064,Clear
T20060045067,Clear
T20060045070,Not known
T20060045078,Clear
T20060045079,Clear
T20060045084,Clear
T20060045088,Clear
T20060045091,Clear
T20060045092,Clear
T20060045093,Smoke
T20060045093,Strong winds
T20060045094,Clear
T20060045097,Clear
T20060045103,Not known
T20060045105,Clear
T20060045107,Clear
T20060045108,Clear
T20060045110,Clear
T20060045115,Clear
T20060045126,Clear
T20060045131,Clear
T20060045138,Clear
T20060045145,Clear
T20060045149,Clear
T20060045150,Clear
T20060045156,Clear
T20060045157,Clear
T20060045158,Clear
T20060045159,Clear
T20060045160,Clear
T20060045161,Clear
T20060045162,Clear
T20060045166,Clear
T20060045170,Clear
T20060045172,Clear
T20060045174,Clear
T20060045176,Clear
T20060045179,Clear
T20060045184,Clear
T20060045187,Clear
T20060045188,Clear
T20060045191,Clear
T20060045196,Clear
T20060045199,Clear
T20060045203,Clear
T20060045207,Raining
T20060045208,Clear
T20060045212,Clear
T20060045214,Clear
T20060045215,Clear
T20060045217,Clear
T20060045219,Clear
T20060045222,Clear
T20060045223,Clear
T20060045225,Clear
T20060045226,Clear
T20060045226,Strong winds
T20060045231,Clear
T20060045239,Clear
T20060045241,Clear
T20060045243,Clear
T20060045246,Clear
T20060045252,Clear
T20060045254,Dust
T20060045256,Clear
T20060045257,Clear
T20060045259,Clear
T20060045264,Clear
T20060045266,Clear
T20060045266,Strong winds
T20060045270,Not known
T20060045280,Clear
T20060045283,Clear
T20060045287,Raining
T20060045294,Clear
T20060045296,Clear
T20060045301,Clear
T20060045307,Clear
T20060045309,Clear
T20060045317,Clear
T20060045319,Clear
T20060045326,Smoke
T20060045329,Clear
T20060045330,Clear
T20060045334,Clear
T20060045336,Clear
T20060045337,Clear
T20060045341,Clear
T20060045347,Not known
T20060045350,Clear
T20060045353,Clear
T20060045354,Clear
T20060045355,Clear
T20060045358,Clear
T20060045360,Clear
T20060045368,Clear
T20060045372,Clear
T20060045373,Clear
T20060045376,Clear
T20060045378,Clear
T20060045379,Dust
T20060045381,Clear
T20060045387,Clear
T20060045388,Clear
T20060045389,Clear
T20060045392,Clear
T20060045395,Clear
T20060045397,Clear
T20060045402,Clear
T20060045403,Clear
T20060045406,Clear
T20060045410,Not known
T20060045417,Clear
T20060045426,Clear
T20060045429,Raining
T20060045434,Clear
T20060045436,Clear
T20060045442,Clear
T20060045446,Clear
T20060045449,Clear
T20060045461,Clear
T20060045462,Clear
T20060045462,Dust
T20060045464,Clear
T20060045466,Clear
T20060045468,Clear
T20060045472,Clear
T20060045474,Clear
T20060045476,Clear
