accident_no,atmosph_cond_desc
T20060001507,Clear
T20060001512,Clear
T20060001514,Clear
T20060001526,Clear
T20060001532,Raining
T20060001543,Clear
T20060001548,Raining
T20060001560,Raining
T20060001560,Strong winds
T20060001562,Raining
T20060001562,Strong winds
T20060001571,Clear
T20060001586,Clear
T20060001588,Clear
T20060001590,Clear
T20060001594,Raining
T20060001601,Clear
T20060001602,Raining
T20060001607,Clear
T20060001615,Not known
T20060001623,Clear
T20060001625,Clear
T20060001626,Clear
T20060001627,Clear
T20060001628,Clear
T20060001629,Clear
T20060001633,Clear
T20060001638,Clear
T20060001642,Clear
T20060001663,Clear
T20060001669,Raining
T20060001674,Raining
T20060001679,Raining
T20060001682,Raining
T20060001691,Raining
T20060001695,Clear
T20060001696,Raining
T20060001698,Raining
T20060001700,Raining
T20060001702,Clear
T20060001710,Clear
T20060001717,Clear
T20060001717,Strong winds
T20060001721,Clear
T20060001724,Clear
T20060001736,Clear
T20060001751,Clear
T20060001753,Clear
T20060001754,Clear
T20060001756,Clear
T20060001757,Clear
T20060001762,Clear
T20060001764,Clear
T20060001765,Clear
T20060001766,Clear
T20060001770,Clear
T20060001772,Clear
T20060001775,Clear
T20060001777,Clear
T20060001779,Clear
T20060001785,Clear
T20060001790,Clear
T20060001803,Clear
T20060001806,Clear
T20060001807,Clear
T20060001812,Clear
T20060001814,Clear
T20060001821,Clear
T20060001822,Clear
T20060001828,Clear
T20060001829,Clear
T20060001830,Clear
T20060001833,Clear
T20060001834,Clear
T20060001835,Clear
T20060001836,Clear
T20060001838,Clear
T20060001839,Clear
T20060001851,Clear
T20060001853,Clear
T20060001855,Clear
T20060001858,Clear
T20060001859,Clear
T20060001865,Clear
T20060001872,Clear
T20060001874,Clear
T20060001877,Clear
T20060001882,Clear
T20060001884,Clear
T20060001887,Clear
T20060001892,Clear
T20060001893,Clear
T20060001897,Clear
T20060001902,Clear
T20060001903,Clear
T20060001908,Clear
T20060001909,Clear
T20060001911,Clear
T20060001912,Clear
T20060001916,Clear
T20060001917,Clear
T20060001919,Clear
T20060001920,Clear
T20060001921,Clear
T20060001923,Clear
T20060001927,Clear
T20060001937,Clear
T20060001951,Clear
T20060001952,Clear
T20060001954,Clear
T20060001955,Clear
T20060001958,Clear
T20060001959,Clear
T20060001960,Clear
T20060001962,Clear
T20060001963,Clear
T20060001966,Clear
T20060001967,Clear
T20060001968,Clear
T20060001972,Clear
T20060001974,Clear
T20060001977,Clear
T20060001979,Clear
T20060001981,Smoke
T20060001983,Clear
T20060001985,Clear
T20060001986,Clear
T20060001987,Clear
T20060001989,Clear
T20060001990,Clear
T20060001991,Raining
T20060001992,Clear
T20060001993,Dust
T20060001995,Clear
T20060001997,Clear
T20060001998,Clear
T20060001999,Clear
T20060002002,Clear
T20060002003,Clear
T20060002006,Clear
T20060002011,Clear
T20060002012,Clear
T20060002016,Raining
T20060002021,Clear
T20060002024,Clear
T20060002025,Clear
T20060002030,Clear
T20060002031,Clear
T20060002032,Clear
T20060002037,Clear
T20060002045,Smoke
T20060002045,Strong winds
T20060002049,Clear
T20060002054,Clear
T20060002056,Clear
T20060002057,Clear
T20060002068,Clear
T20060002069,Clear
T20060002072,Raining
T20060002075,Clear
T20060002077,Clear
T20060002078,Clear
T20060002079,Clear
T20060002081,Clear
T20060002085,Clear
T20060002088,Clear
T20060002091,Clear
T20060002099,Clear
T20060002100,Clear
T20060002112,Clear
T20060002113,Clear
T20060002115,Raining
T20060002118,Clear
T20060002121,Raining
T20060002127,Clear
T20060002128,Clear
T20060002131,Clear
T20060002136,Clear
T20060002147,Clear
T20060002152,Clear
T20060002154,Not known
T20060002165,Clear
T20060002167,Clear
T20060002170,Clear
T20060002171,Clear
T20060002173,Clear
T20060002176,Clear
T20060002181,Clear
T20060002183,Not known
T20060002184,Clear
T20060002189,Clear
T20060002203,Not known
T20060002206,Clear
T20060002208,Clear
T20060002216,Clear
T20060002219,Clear
T20060002222,Clear
T20060002223,Clear
T20060002231,Clear
T20060002234,Clear
T20060002237,Dust
T20060002240,Clear
T20060002243,Clear
T20060002247,Clear
T20060002251,Clear
T20060002252,Clear
T20060002253,Clear
T20060002259,Raining
T20060002261,Clear
T20060002262,Clear
T20060002264,Clear
T20060002265,Clear
T20060002266,Clear
T20060002270,Clear
T20060002274,Clear
T20060002275,Clear
T20060002278,Clear
T20060002279,Clear
T20060002287,Clear
T20060002288,Raining
T20060002290,Clear
T20060002291,Clear
T20060002292,Clear
T20060002293,Clear
T20060002295,Clear
T20060002296,Clear
T20060002302,Clear
T20060002304,Clear
T20060002307,Clear
T20060002310,Clear
T20060002316,Clear
T20060002317,Clear
T20060002319,Clear
T20060002321,Clear
T20060002324,Clear
T20060002328,Clear
T20060002330,Clear
T20060002332,Clear
T20060002333,Clear
T20060002335,Clear
T20060002339,Clear
T20060002344,Clear
T20060002347,Clear
T20060002349,Clear
T20060002351,Clear
T20060002355,Clear
T20060002356,Clear
T20060002357,Clear
T20060002360,Clear
T20060002375,Clear
T20060002378,Clear
T20060002380,Clear
T20060002381,Clear
T20060002391,Clear
T20060002397,Clear
T20060002399,Clear
T20060002400,Not known
T20060002401,Clear
T20060002407,Clear
T20060002408,Raining
T20060002409,Clear
T20060002413,Clear
T20060002414,Clear
T20060002415,Clear
T20060002419,Clear
T20060002422,Clear
T20060002424,Clear
T20060002433,Clear
T20060002442,Clear
T20060002445,Clear
